Time [s],Channel 0,Channel 2
5.613041120,1,1
5.618037120,0,1
5.618041120,0,0
5.623037120,1,0
5.623040960,1,1
5.628036960,0,1
5.628041120,0,0
5.633036960,1,0
5.633040640,1,1
5.638036800,0,1
5.638040640,0,0
5.643036800,1,0
5.643040480,1,1
5.648036640,0,1
5.648040480,0,0
5.653036640,1,0
5.653040320,1,1
5.658036480,0,1
5.658040320,0,0
5.663036320,1,0
5.663040160,1,1
5.668036320,0,1
5.668040160,0,0
5.673036160,1,0
5.673040000,1,1
5.678036160,0,1
5.678040000,0,0
5.683036000,1,0
5.683039840,1,1
5.688036000,0,1
5.688039840,0,0
5.693035840,1,0
5.693039680,1,1
5.698035840,0,1
5.698039680,0,0
5.703035680,1,0
5.703039520,1,1
5.708035520,0,1
5.708039520,0,0
5.713035520,1,0
5.713039360,1,1
5.718035360,0,1
5.718039360,0,0
5.723035360,1,0
5.723039040,1,1
5.728035200,0,1
5.728039040,0,0
5.733035200,1,0
5.733038880,1,1
5.738035040,0,1
5.738038880,0,0
5.743035040,1,0
5.743038720,1,1
5.748034880,0,1
5.748038720,0,0
5.753034720,1,0
5.753038560,1,1
5.758034720,0,1
5.758038560,0,0
5.763034560,1,0
5.763038400,1,1
5.768034560,0,1
5.768038400,0,0
5.773034400,1,0
5.773038240,1,1
5.778034400,0,1
5.778038240,0,0
5.783034240,1,0
5.783038080,1,1
5.788034240,0,1
5.788038080,0,0
5.793034080,1,0
5.793037920,1,1
5.798033920,0,1
5.798037920,0,0
5.803033920,1,0
5.803037920,1,1
5.808033760,0,1
5.808037760,0,0
5.813033760,1,0
5.813037440,1,1
5.818033600,0,1
5.818037440,0,0
5.823033600,1,0
5.823037280,1,1
5.828033440,0,1
5.828037280,0,0
5.833033440,1,0
5.833037120,1,1
5.838033280,0,1
5.838037120,0,0
5.843033120,1,0
5.843036960,1,1
5.848033120,0,1
5.848036960,0,0
5.853032960,1,0
5.853036800,1,1
5.858032960,0,1
5.858036800,0,0
5.863032800,1,0
5.863036640,1,1
5.868032800,0,1
5.868036640,0,0
5.873032640,1,0
5.873036480,1,1
5.878032640,0,1
5.878036480,0,0
5.883032480,1,0
5.883036320,1,1
5.888032320,0,1
5.888036320,0,0
5.893032320,1,0
5.893036160,1,1
5.898032160,0,1
5.898036160,0,0
5.903032160,1,0
5.903035840,1,1
5.908032000,0,1
5.908035840,0,0
5.913032000,1,0
5.913035680,1,1
5.918031840,0,1
5.918035680,0,0
5.923031840,1,0
5.923035520,1,1
5.928031680,0,1
5.928035520,0,0
5.933031520,1,0
5.933035360,1,1
5.938031520,0,1
5.938035360,0,0
5.943031360,1,0
5.943035200,1,1
5.948031360,0,1
5.948035200,0,0
5.953031200,1,0
5.953035040,1,1
5.958031200,0,1
5.958034240,0,0
5.963031040,1,0
5.963035040,1,1
5.968031040,0,1
5.968034880,0,0
5.973030880,1,0
5.973034720,1,1
5.978030720,0,1
5.978034720,0,0
5.983030720,1,0
5.983034560,1,1
5.988030560,0,1
5.988034560,0,0
5.993030560,1,0
