Time [s],Channel 0,Channel 2
12.663202560,0,0
12.663651520,1,0
12.663706720,1,1
12.664151520,0,1
12.664202560,0,0
12.664651520,1,0
12.664706560,1,1
12.665151520,0,1
12.665203200,0,0
12.665651520,1,0
12.665705920,1,1
12.666151520,0,1
12.666202720,0,0
12.666651360,1,0
12.666705600,1,1
12.667151360,0,1
12.667202720,0,0
12.667651360,1,0
12.667705760,1,1
12.668151360,0,1
12.668202720,0,0
12.668651360,1,0
12.668705440,1,1
12.669151200,0,1
12.669202560,0,0
12.669651200,1,0
12.669702560,1,1
12.670151200,0,1
12.670202400,0,0
12.670651200,1,0
12.670702560,1,1
12.671151200,0,1
12.671205600,0,0
12.671651040,1,0
12.671702240,1,1
12.672151040,0,1
12.672205600,0,0
12.672651040,1,0
12.672702080,1,1
12.673151040,0,1
12.673205760,0,0
12.673651040,1,0
12.673702720,1,1
12.674151040,0,1
12.674204800,0,0
12.674650880,1,0
12.674702080,1,1
12.675150880,0,1
12.675205440,0,0
12.675650880,1,0
12.675702080,1,1
12.676150880,0,1
12.676205440,0,0
12.676650880,1,0
12.676701920,1,1
12.677150880,0,1
12.677205120,0,0
12.677650720,1,0
12.677702400,1,1
12.678150720,0,1
12.678204800,0,0
12.678650720,1,0
12.678702400,1,1
12.679150720,0,1
12.679205280,0,0
12.679650560,1,0
12.679701760,1,1
12.680150560,0,1
12.680201440,0,0
12.680650560,1,0
12.680701760,1,1
12.681150560,0,1
12.681201760,0,0
12.681650560,1,0
12.681704800,1,1
12.682150560,0,1
12.682201760,0,0
12.682650400,1,0
12.682704640,1,1
12.683150400,0,1
12.683201440,0,0
12.683650400,1,0
12.683705440,1,1
12.684150400,0,1
12.684201440,0,0
12.684650400,1,0
12.684704640,1,1
12.685150400,0,1
12.685201440,0,0
12.685650240,1,0
12.685704640,1,1
12.686150240,0,1
12.686201760,0,0
12.686650240,1,0
12.686704480,1,1
12.687150240,0,1
12.687201440,0,0
12.687650240,1,0
12.687704640,1,1
12.688150240,0,1
12.688201280,0,0
12.688650080,1,0
12.688704800,1,1
12.689150080,0,1
12.689201440,0,0
12.689650080,1,0
12.689704480,1,1
12.690150080,0,1
12.690201120,0,0
12.690649920,1,0
12.690700960,1,1
12.691149920,0,1
12.691201120,0,0
12.691649920,1,0
12.691700960,1,1
12.692149920,0,1
12.692204320,0,0
12.692649920,1,0
12.692701120,1,1
12.693149920,0,1
12.693203840,0,0
12.693649760,1,0
12.693701600,1,1
12.694149760,0,1
12.694204000,0,0
12.694649760,1,0
12.694700960,1,1
12.695149760,0,1
12.695204000,0,0
12.695649760,1,0
12.695700800,1,1
12.696149760,0,1
12.696204000,0,0
12.696649600,1,0
12.696701280,1,1
12.697149600,0,1
12.697203680,0,0
12.697649600,1,0
12.697700800,1,1
12.698149600,0,1
12.698204000,0,0
12.698649600,1,0
12.698700640,1,1
12.699149440,0,1
12.699203840,0,0
12.699649440,1,0
12.699701120,1,1
12.700149440,0,1
12.700203840,0,0
12.700649440,1,0
12.700701120,1,1
12.701149440,0,1
12.701203680,0,0
12.701649280,1,0
12.701700640,1,1
12.702149280,0,1
12.702200480,0,0
12.702649280,1,0
12.702700640,1,1
12.703149280,0,1
12.703200800,0,0
12.703649280,1,0
12.703704320,1,1
12.704149280,0,1
12.704200480,0,0
12.704649120,1,0
12.704703520,1,1
12.705149120,0,1
12.705200640,0,0
12.705649120,1,0
12.705703520,1,1
12.706149120,0,1
12.706200480,0,0
12.706649120,1,0
12.706703360,1,1
12.707149120,0,1
12.707200480,0,0
12.707648960,1,0
12.707703520,1,1
12.708148960,0,1
12.708199840,0,0
12.708648960,1,0
12.708703360,1,1
12.709148960,0,1
12.709200320,0,0
12.709648960,1,0
12.709703680,1,1
12.710148800,0,1
12.710200160,0,0
12.710648800,1,0
12.710703360,1,1
12.711148800,0,1
12.711200000,0,0
12.711648800,1,0
12.711703360,1,1
12.712148800,0,1
12.712200000,0,0
12.712648640,1,0
12.712699680,1,1
12.713148640,0,1
12.713200000,0,0
12.713648640,1,0
12.713700480,1,1
12.714148640,0,1
12.714203200,0,0
12.714648640,1,0
12.714700160,1,1
12.715148640,0,1
12.715203200,0,0
12.715648480,1,0
12.715699680,1,1
12.716148480,0,1
12.716202560,0,0
12.716648480,1,0
12.716699680,1,1
12.717148480,0,1
12.717203040,0,0
12.717648480,1,0
12.717699840,1,1
12.718148480,0,1
12.718203200,0,0
12.718648320,1,0
12.718699840,1,1
12.719148320,0,1
12.719202400,0,0
12.719648320,1,0
12.719699680,1,1
12.720148320,0,1
12.720203360,0,0
12.720648320,1,0
12.720699520,1,1
12.721148160,0,1
12.721202560,0,0
12.721648160,1,0
12.721699520,1,1
12.722148160,0,1
12.722202720,0,0
12.722648160,1,0
12.722699040,1,1
12.723148160,0,1
12.723199040,0,0
12.723648000,1,0
12.723700480,1,1
12.724148000,0,1
12.724199360,0,0
